"Id","SalePrice"
1461,129508.143962551
1462,154696.381730554
1463,187308.550177128
1464,192000.41798693
1465,193524.895056627
1466,186464.798677992
1467,174188.733261439
1468,177997.295006325
1469,179530.657248159
1470,134080.971348834
1471,197770.202050867
1472,102954.317647099
1473,109632.90079894
1474,152086.024321706
1475,131453.486780571
1476,372312.69910691
1477,270512.272408622
1478,307763.736525523
1479,310443.992781051
1480,412402.128879495
1481,310802.436924059
1482,209182.729647923
1483,188003.158119876
1484,179918.962273449
1485,185077.732561921
1486,201306.001677921
1487,301729.412602218
1488,236454.232007196
1489,211703.800848469
1490,232301.348122093
1491,201022.734308315
1492,107950.361575373
1493,184858.956887188
1494,285916.019410654
1495,276957.55115703
1496,226614.911762204
1497,186875.645700024
1498,170207.693806107
1499,170965.45380423
1500,172493.476171876
1501,173958.573307287
1502,173285.917505453
1503,282044.945183283
1504,232394.644559685
1505,221989.771185581
1506,182149.400801801
1507,235460.196745917
1508,192785.742097579
1509,157714.133421414
1510,152117.451895403
1511,151579.379720804
1512,171014.967724035
1513,148949.637581035
1514,151633.819763607
1515,184259.474268801
1516,153285.296148877
1517,156616.455179149
1518,141462.28128229
1519,223296.443361921
1520,141061.683783333
1521,145007.573538706
1522,161612.355050907
1523,118784.972126359
1524,121608.566365354
1525,127685.369672554
1526,128837.100421368
1527,116738.241824483
1528,129321.897449549
1529,145192.152518222
1530,163598.07579271
1531,142260.961166759
1532,108191.329802082
1533,138760.805914275
1534,119041.981048539
1535,149819.999980289
1536,122462.500765464
1537,115407.836724165
1538,152691.724160855
1539,186316.364967939
1540,123702.849519125
1541,133784.386771397
1542,135879.219426295
1543,175610.357395289
1544,98117.1697861453
1545,110516.573640772
1546,133066.856519219
1547,139131.342959906
1548,124279.682712139
1549,119631.198311088
1550,141220.542121918
1551,121925.860142224
1552,153381.730989494
1553,141979.174192867
1554,118717.0633338
1555,177759.93466675
1556,123600.388250462
1557,117743.507132562
1558,109363.743531074
1559,126437.256584762
1560,145012.404809191
1561,142538.042624432
1562,130387.745594465
1563,127678.308160811
1564,163455.847393774
1565,158162.707207124
1566,219749.864457234
1567,101534.530850126
1568,222452.676606077
1569,162284.243556176
1570,149189.608872052
1571,133264.121087529
1572,143327.454358033
1573,238586.095415205
1574,135788.432659036
1575,220030.192507295
1576,223969.601768867
1577,201805.501455354
1578,147881.922045016
1579,154879.178205326
1580,191239.740798151
1581,154782.664714732
1582,129969.4899127
1583,309058.965066473
1584,234988.495924513
1585,146203.231349217
1586,93054.0914022996
1587,115288.132875851
1588,148063.602091177
1589,110933.011165826
1590,135566.415334515
1591,106707.31485106
1592,133467.220520417
1593,128787.586061157
1594,135828.524376524
1595,128455.52085515
1596,207549.142244422
1597,173935.368605281
1598,191821.034448095
1599,183309.567291641
1600,185847.290673559
1601,91569.1392355211
1602,117105.433725258
1603,106660.532401435
1604,274946.03813596
1605,237796.098635996
1606,165598.87519766
1607,173535.418676091
1608,229798.094688198
1609,199767.591177255
1610,175023.348788968
1611,150051.323753752
1612,189285.357354749
1613,180853.918295672
1614,128514.840055332
1615,99038.9679157666
1616,95158.1658446848
1617,94362.1917923077
1618,127393.653578997
1619,141233.604368456
1620,172999.492494591
1621,146193.553274133
1622,146139.802906354
1623,243871.508335088
1624,218751.525797959
1625,127713.316732015
1626,170302.93383502
1627,190492.97466959
1628,267522.857323321
1629,179512.536521022
1630,304170.777286082
1631,205192.673855514
1632,229739.922047005
1633,178688.423436355
1634,188713.515450459
1635,185843.345664213
1636,170848.568513865
1637,185635.254562238
1638,199288.720539805
1639,186230.400042764
1640,230191.569498305
1641,180874.6849414
1642,234652.252675633
1643,222563.790767877
1644,226138.340841237
1645,191920.776148779
1646,162388.693871394
1647,164029.85785439
1648,141417.010404458
1649,141250.852101405
1650,125643.772414726
1651,125547.740115732
1652,101588.62363233
1653,103511.55961483
1654,152946.399787707
1655,152501.483335699
1656,148472.593122638
1657,151703.307415699
1658,155628.210652071
1659,135549.776376084
1660,162882.749555103
1661,396564.592780254
1662,336336.238772983
1663,367876.881281958
1664,412145.459653459
1665,327105.71776471
1666,328534.184427473
1667,331317.319729134
1668,334522.975927146
1669,287434.686633664
1670,340756.18092306
1671,269015.931994293
1672,380379.041878783
1673,301585.072389425
1674,255013.680295297
1675,199721.497402035
1676,203521.894229037
1677,215289.858028846
1678,414828.632916655
1679,365154.320018476
1680,320725.28432632
1681,272020.988250617
1682,312873.397575927
1683,195175.618922858
1684,181821.894182422
1685,179146.66531399
1686,178495.655073269
1687,177780.217934459
1688,197755.198045434
1689,198012.871215166
1690,190719.100502513
1691,186794.293481265
1692,254985.75588744
1693,178864.041143091
1694,184592.263500345
1695,173832.019297526
1696,261860.533858951
1697,172524.017603689
1698,314266.610419348
1699,292359.131118938
1700,250406.660937746
1701,262957.554217206
1702,259298.031389995
1703,259353.616842359
1704,276715.012898671
1705,238250.409103164
1706,379556.426317649
1707,218608.246543101
1708,212748.297897899
1709,265728.603852265
1710,226423.645079831
1711,268360.544559355
1712,273479.077122327
1713,276929.176352926
1714,216297.319832244
1715,203051.170478883
1716,185143.98575328
1717,175570.020869866
1718,141737.591506467
1719,211746.356515968
1720,235665.346189603
1721,175240.495976777
1722,140067.44475605
1723,165990.534535413
1724,218009.976451868
1725,231072.515994667
1726,197344.057618743
1727,177843.408306857
1728,187235.712695877
1729,167605.245954429
1730,158282.984967929
1731,127900.36192345
1732,135947.839397885
1733,128560.619126884
1734,134877.743279888
1735,143241.809711885
1736,125704.847578144
1737,270125.164464172
1738,224325.266583087
1739,251201.662035071
1740,240054.737662912
1741,205682.353288823
1742,172821.955103208
1743,174936.029519712
1744,273924.499498028
1745,206154.16316016
1746,207904.45213013
1747,204780.56231059
1748,206315.157158802
1749,163312.479717403
1750,144233.10200989
1751,212416.025049888
1752,127569.207820473
1753,150581.50042748
1754,190602.820913317
1755,173219.005588629
1756,129384.415825898
1757,122037.151231147
1758,153587.385165771
1759,160861.433470671
1760,163187.011197564
1761,151922.308912263
1762,180775.444438386
1763,171000.912446459
1764,127664.300116844
1765,172210.844004318
1766,175147.28610256
1767,198433.408914596
1768,145513.959345755
1769,164857.951619766
1770,147736.347407435
1771,139951.385700604
1772,140926.676571222
1773,144561.747579866
1774,153043.718107256
1775,134979.492813488
1776,124826.35155127
1777,118037.434429169
1778,138155.047335103
1779,129839.093602022
1780,165776.282629952
1781,134727.689695145
1782,107589.407546454
1783,145042.733268514
1784,117647.705929383
1785,121085.792151153
1786,160572.663370786
1787,168210.524715994
1788,97307.3765501574
1789,114750.970656031
1790,106720.105821075
1791,179272.859073625
1792,146548.893638982
1793,145400.689649984
1794,146198.117814341
1795,138167.041251502
1796,143180.218162928
1797,123951.424717205
1798,132667.67720628
1799,118040.925302166
1800,138970.710141517
1801,129622.141218808
1802,136197.200513511
1803,152080.91918765
1804,145782.717256111
1805,139973.828670302
1806,120459.421034035
1807,134600.048937087
1808,129932.073609861
1809,125682.858849926
1810,143576.813969247
1811,112010.29393813
1812,106120.038637621
1813,120204.603994501
1814,104255.6532355
1815,80918.8912118999
1816,111506.913666813
1817,138749.68274807
1818,145878.873256456
1819,133976.310254812
1820,98110.1132193585
1821,119174.305927126
1822,148355.477161304
1823,83844.6232101899
1824,135716.62429314
1825,138135.614759931
1826,119515.189415348
1827,110868.319072288
